X-Data [Hz]	Reference	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	
		003: [05-25-24 15:46]		004: [05-25-24 16:01]	
     144,795	       0,025	   0,0234356	 0,0	   0,0271481	 0,0
     144,824	       0,025	   0,0257537	 0,0	   0,0239731	 0,0
     144,853	       0,025	     0,02541	 0,0	   0,0280105	 0,0
     144,883	       0,025	   0,0261189	 0,0	   0,0232116	 0,0
     144,912	       0,025	   0,0237135	 0,0	   0,0253379	 0,0
     144,941	       0,025	   0,0258761	 0,0	   0,0244252	 0,0
     144,971	       0,025	   0,0252424	 0,0	   0,0236648	 0,0
         145	       0,025	   0,0262499	 0,0	   0,0265205	 0,0
     145,029	       0,025	   0,0235104	 0,0	   0,0244193	 0,0
     145,059	       0,025	   0,0234754	 0,0	   0,0243309	 0,0
     145,088	       0,025	   0,0244915	 0,0	   0,0258054	 0,0
     145,117	       0,025	   0,0253131	 0,0	     0,02482	 0,0
     145,147	       0,025	   0,0251143	 0,0	   0,0247951	 0,0
     145,176	       0,025	   0,0234601	 0,0	   0,0246244	 0,0
     145,205	       0,025	   0,0266042	 0,0	   0,0270238	 0,0
     145,235	       0,025	   0,0265603	 0,0	   0,0251138	 0,0
     145,264	       0,025	   0,0246742	 0,0	    0,023492	 0,0
     145,293	       0,025	   0,0229209	 0,0	   0,0250013	 0,0
     145,323	       0,025	   0,0258081	 0,0	   0,0241091	 0,0
     145,352	       0,025	   0,0258432	 0,0	   0,0251296	 0,0
     145,381	       0,025	   0,0247508	 0,0	    0,026615	 0,0
     145,411	       0,025	   0,0247748	 0,0	   0,0260128	 0,0
      145,44	       0,025	   0,0249204	 0,0	   0,0259577	 0,0
     145,469	       0,025	   0,0257929	 0,0	   0,0261131	 0,0
     145,499	       0,025	   0,0267508	 0,0	    0,026123	 0,0
     145,528	       0,025	   0,0262636	 0,0	    0,025594	 0,0
     145,557	       0,025	   0,0264965	 0,0	   0,0278591	 0,0
     145,587	       0,025	   0,0262593	 0,0	   0,0246313	 0,0
     145,616	       0,025	   0,0248408	 0,0	   0,0250547	 0,0
     145,645	       0,025	   0,0238994	 0,0	   0,0233466	 0,0
     145,674	       0,025	    0,026712	 0,0	   0,0238977	 0,0
     145,704	       0,025	   0,0257231	 0,0	   0,0256733	 0,0
     145,733	       0,025	   0,0240507	 0,0	   0,0249914	 0,0
     145,762	       0,025	   0,0236402	 0,0	   0,0250724	 0,0
     145,792	       0,025	    0,027162	 0,0	   0,0255878	 0,0
     145,821	       0,025	   0,0252132	 0,0	   0,0238044	 0,0
      145,85	       0,025	   0,0250694	 0,0	   0,0249353	 0,0
      145,88	       0,025	    0,026654	 0,0	   0,0244874	 0,0
     145,909	       0,025	   0,0242051	 0,0	   0,0243789	 0,0
     145,938	       0,025	     0,02709	 0,0	     0,02687	 0,0
     145,968	       0,025	   0,0241015	 0,0	   0,0255121	 0,0
     145,997	       0,025	   0,0246386	 0,0	   0,0257263	 0,0
     146,026	       0,025	   0,0256195	 0,0	   0,0250301	 0,0
     146,056	       0,025	   0,0257854	 0,0	   0,0238596	 0,0
     146,085	       0,025	   0,0256016	 0,0	   0,0237205	 0,0
     146,114	       0,025	   0,0262431	 0,0	   0,0254018	 0,0
     146,144	       0,025	   0,0233041	 0,0	   0,0238232	 0,0
     146,173	       0,025	   0,0245726	 0,0	   0,0261828	 0,0
     146,202	       0,025	   0,0258737	 0,0	   0,0246252	 0,0
     146,232	       0,025	   0,0239436	 0,0	   0,0239776	 0,0
     146,261	       0,025	   0,0240103	 0,0	   0,0249268	 0,0
      146,29	       0,025	   0,0263608	 0,0	   0,0248046	 0,0
      146,32	       0,025	   0,0258725	 0,0	   0,0255766	 0,0
     146,349	       0,025	   0,0237571	 0,0	   0,0245251	 0,0
     146,378	       0,025	   0,0248618	 0,0	   0,0255197	 0,0
     146,408	       0,025	   0,0262727	 0,0	   0,0254182	 0,0
